Name,MapDate,DSCI
Alaska,20150714,81
Alaska,20150721,75
Alaska,20150728,91
Alaska,20150804,91
Alaska,20150811,91
Alaska,20150818,91
Alaska,20150825,91
Alaska,20150901,89
Alaska,20150908,70
Alaska,20150915,67
Alaska,20150922,46
Alaska,20150929,46
Alaska,20151006,26
Alaska,20151013,25
Alaska,20151020,23
Alaska,20151027,23
Alaska,20151103,23
Alaska,20151110,23
Alaska,20151117,23
Alaska,20151124,23
Alaska,20151201,10
Alaska,20151208,10
Alaska,20151215,10
Alaska,20151222,10
Alaska,20151229,10
Alaska,20160105,10
Alaska,20160112,10
Alaska,20160119,10
Alaska,20160126,10
Alaska,20160202,10
Alaska,20160209,10
Alaska,20160216,10
Alaska,20160223,10
Alaska,20160301,10
Alaska,20160308,10
Alaska,20160315,16
Alaska,20160322,16
Alaska,20160329,16
Alaska,20160405,16
Alaska,20160412,23
Alaska,20160419,23
Alaska,20160426,23
Alaska,20160503,23
Alaska,20160510,23
Alaska,20160517,23
